"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Nikola Jokic","66.05","C","DEN","PHX","36.1","12,000","5.50","6.05"
"Luka Doncic","57.19","PG","DAL","POR","33.1","11,500","4.97","-0.31"
"Anthony Davis","56.72","C","LAL","DET","35.2","10,500","5.40","4.22"
"Joel Embiid","53.18","C","PHI","SAS","32.7","9,600","5.54","5.18"
"Victor Wembanyama","51.88","C","SAS","PHI","33.3","11,000","4.72","-3.12"
"Karl-Anthony Towns","51.72","C","NYK","TOR","33.9","10,200","5.07","0.72"
"Shai Gilgeous-Alexander","51.36","PG","OKC","WAS","30.6","10,100","5.09","0.86"
"LaMelo Ball","50.56","PG","CHA","HOU","34.1","9,800","5.16","1.56"
"Kevin Durant","50.15","PF/C","PHX","DEN","36.6","9,400","5.33","3.15"
"James Harden","48.34","PG","LAC","MEM","33.8","9,200","5.25","2.34"
"Cade Cunningham","47.98","PG","DET","LAL","35.5","10,000","4.80","-2.02"
"Jayson Tatum","47.55","SF/PF","BOS","ORL","35.7","10,500","4.53","-4.95"
"LeBron James","46.87","PF","LAL","DET","33.3","9,500","4.93","-0.63"
"Trae Young","46.62","PG","ATL","MIN","36.0","9,400","4.96","-0.38"
"Anthony Edwards","45.77","PG/SG","MIN","ATL","35.8","8,700","5.26","2.27"
"Alperen Sengun","45.69","C","HOU","CHA","32.6","8,900","5.13","1.19"
"Bobby Portis","44.31","PF/C","MIL","CHI","31.9","6,300","7.03","12.81"
"Scottie Barnes","44.16","PG/SF","TOR","NYK","33.4","9,100","4.85","-1.34"
"Stephen Curry","43.88","PG","GSW","IND","32.2","9,000","4.88","-1.12"
"Bam Adebayo","43.75","C","MIA","BKN","34.2","8,100","5.40","3.25"
"Jalen Williams","42.28","PF","OKC","WAS","29.8","8,100","5.22","1.78"
"Donovan Mitchell","42.22","PG/SG","CLE","UTA","31.7","8,400","5.03","0.22"
"Ja Morant","42.09","PG","MEM","LAC","30.2","8,800","4.78","-1.91"
"Tyler Herro","42.02","PG/SG","MIA","BKN","36.7","7,400","5.68","5.02"
