game_id,personid,status,order_num,jerseynum,position,starter,oncourt,played,name,assists,blocks,blocksreceived,fieldgoalsattempted,fieldgoalsmade,fieldgoalspercentage,foulsoffensive,foulsdrawn,foulspersonal,foulstechnical,freethrowsattempted,freethrowsmade,freethrowspercentage,minus,minutes,minutescalculated,plus,plusminuspoints,points,pointsfastbreak,pointsinthepaint,pointssecondchance,reboundsdefensive,reboundsoffensive,reboundstotal,steals,threepointersattempted,threepointersmade,threepointerspercentage,turnovers,twopointersattempted,twopointersmade,twopointerspercentage,dd,td,fpts,team
0022400081,1628384,ACTIVE,1,8,SF,True,False,True,OG Anunoby,1,0,3,12,6,0.5,0,2,3,0,2,1,0.5,63.0,PT34M01.00S,PT34M,81.0,18.0,14,4,10,0,4,0,4,1,4,1,0.25,1,8,5,0.625,False,False,22.5,Knicks
0022400083,203897,ACTIVE,1,8,SF,True,False,True,Zach LaVine,1,2,0,15,9,0.6,0,4,0,0,6,5,0.833333333333334,85.0,PT33M17.00S,PT33M,94.0,9.0,25,8,10,1,4,1,5,0,6,2,0.333333333333333,1,9,7,0.777777777777778,False,False,37.25,Bulls
0022400103,1628398,ACTIVE,1,33,SF,True,False,True,Kyle Kuzma,7,0,4,20,8,0.4,1,4,2,0,6,4,0.666666666666666,96.0,PT40M25.09S,PT40M,102.0,6.0,25,6,6,0,9,2,11,0,9,5,0.555555555555556,5,11,3,0.272727272727273,True,False,50.75,Wizards
0022400109,1631110,ACTIVE,2,10,PF,True,True,True,Jeremy Sochan,4,1,0,19,9,0.473684210526316,1,5,3,1,5,4,0.8,85.0,PT33M39.00S,PT34M,73.0,-12.0,22,2,18,3,4,5,9,0,1,0,0.0,2,18,9,0.5,False,False,40.25,Spurs
0022400113,1629661,ACTIVE,1,2,SF,True,True,True,Cameron Johnson,5,0,0,14,7,0.5,0,1,2,0,0,0,0.0,114.0,PT39M49.05S,PT40M,102.0,-12.0,20,0,2,0,6,1,7,1,10,6,0.6,0,4,1,0.25,False,False,41.25,Nets
0022400150,1629652,ACTIVE,1,5,SF,True,False,True,Luguentz Dort,3,0,2,12,6,0.5,0,4,4,0,4,3,0.75,60.0,PT29M44.00S,PT30M,62.0,2.0,16,2,8,3,3,1,4,0,4,1,0.25,0,8,5,0.625,False,False,26.0,Thunder
0022400151,1642385,ACTIVE,13,8,,False,False,False,Cui Yongxi,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Nets
0022400163,1630532,ACTIVE,2,22,PF,True,False,True,Franz Wagner,2,0,2,17,8,0.470588235294118,1,4,2,0,6,5,0.833333333333334,72.0,PT34M09.00S,PT34M,73.0,1.0,22,2,12,0,2,2,4,2,4,1,0.25,5,13,7,0.538461538461538,False,False,32.0,Magic
0022400213,1642259,ACTIVE,3,20,C,True,False,True,Alexandre Sarr,1,2,0,9,2,0.222222222222222,0,2,3,0,4,1,0.25,65.0,PT27M56.00S,PT28M,53.0,-12.0,5,0,2,5,4,2,6,0,3,0,0.0,0,6,2,0.333333333333333,False,False,18.0,Wizards
0022400223,1627752,ACTIVE,1,12,SF,True,True,True,Taurean Prince,3,0,2,16,6,0.375,0,0,2,0,0,0,0.0,106.0,PT44M41.04S,PT45M,104.0,-2.0,15,0,6,0,9,1,10,0,8,3,0.375,0,8,3,0.375,True,False,35.0,Bucks
0022400262,1629012,ACTIVE,5,2,PG,True,False,True,Collin Sexton,1,0,1,13,6,0.461538461538462,1,5,1,0,7,6,0.857142857142857,70.0,PT24M30.00S,PT25M,59.0,-11.0,18,2,12,2,0,1,1,1,3,0,0.0,3,10,6,0.6,False,False,21.25,Jazz
0022400034,201942,ACTIVE,1,10,SF,True,True,True,DeMar DeRozan,2,1,3,19,6,0.31578947368421,0,7,3,1,8,4,0.5,79.0,PT36M07.00S,PT36M,71.0,-8.0,16,0,4,0,6,0,6,1,5,0,0.0,2,14,6,0.428571428571429,False,False,29.5,Kings
0022400270,1631212,ACTIVE,2,8,PF,True,False,True,Peyton Watson,2,1,1,8,5,0.625,0,0,1,0,0,0,0.0,66.0,PT35M25.01S,PT35M,94.0,28.0,11,2,8,4,3,2,5,0,1,1,1.0,1,7,4,0.5714285714285711,False,False,22.25,Nuggets
0022400038,1630200,ACTIVE,8,33,,False,False,True,Tre Jones,7,0,0,6,1,0.166666666666667,0,0,2,0,0,0,0.0,49.0,PT19M29.00S,PT19M,42.0,-7.0,2,2,2,0,2,1,3,2,2,0,0.0,1,4,1,0.25,False,False,19.75,Spurs
0022400046,202710,ACTIVE,1,22,SF,True,True,True,Jimmy Butler,6,0,1,14,8,0.5714285714285711,0,6,1,0,9,8,0.888888888888889,77.0,PT34M15.00S,PT34M,90.0,13.0,26,4,10,0,2,0,2,2,4,2,0.5,0,10,6,0.6,False,False,42.5,Heat
0022400043,1630532,ACTIVE,1,22,SF,True,False,True,Franz Wagner,8,1,1,20,12,0.6,0,1,0,0,2,2,1.0,65.0,PT35M10.00S,PT35M,100.0,35.0,29,6,18,0,7,1,8,2,6,3,0.5,3,14,9,0.642857142857143,False,False,57.0,Magic
0022400305,1629661,ACTIVE,1,2,SF,True,False,True,Cameron Johnson,1,0,3,17,9,0.529411764705882,0,3,3,0,6,6,1.0,82.0,PT35M40.99S,PT36M,67.0,-15.0,26,5,10,4,2,2,4,0,5,2,0.4,0,12,7,0.583333333333333,False,False,33.5,Nets
0022400321,202710,ACTIVE,1,22,SF,True,False,True,Jimmy Butler,5,1,1,12,8,0.666666666666666,0,2,1,0,1,0,0.0,58.0,PT29M21.00S,PT29M,84.0,26.0,17,6,14,0,4,5,9,2,1,1,1.0,1,11,7,0.636363636363636,False,False,41.75,Heat
0022400348,1627752,ACTIVE,2,12,PF,True,False,True,Taurean Prince,2,0,0,2,0,0.0,0,1,3,0,0,0,0.0,37.0,PT17M41.00S,PT18M,32.0,-5.0,0,0,0,0,3,0,3,0,2,0,0.0,1,0,0,0.0,False,False,6.25,Bucks
0022400352,1629626,ACTIVE,10,11,,False,False,True,Bol Bol,0,0,0,2,1,0.5,0,0,0,0,0,0,0.0,11.0,PT05M15.00S,PT05M,6.0,-5.0,2,0,0,0,2,0,2,0,0,0,0.0,0,2,1,0.5,False,False,4.5,Suns
0022400382,1626171,ACTIVE,2,9,PF,True,False,True,Bobby Portis,8,1,2,21,14,0.666666666666666,1,0,1,0,0,0,0.0,78.0,PT31M44.00S,PT32M,84.0,6.0,34,0,10,8,8,2,10,3,9,6,0.666666666666666,2,12,8,0.666666666666666,True,False,70.0,Bucks
0022400061,1628384,ACTIVE,1,8,SF,True,False,True,OG Anunoby,3,0,0,7,1,0.14285714285714302,0,1,3,0,2,2,1.0,102.0,PT34M10.00S,PT34M,81.0,-21.0,4,0,2,0,5,0,5,1,4,0,0.0,0,3,1,0.333333333333333,False,False,16.75,Knicks
