position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
C,Victor Wembanyama (37170256),Victor Wembanyama,37170256,C/UTIL,11400,SAS@MIN 12/29/2024 08:00PM ET,SAS,54.53,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,victorwembanyama,1641705,2024-12-29,Main
PG,Shai Gilgeous-Alexander (37170258),Shai Gilgeous-Alexander,37170258,PG/G/UTIL,11000,MEM@OKC 12/29/2024 07:00PM ET,OKC,52.32,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,shaigilgeousalexander,1628983,2024-12-29,Main
SF/PF,Jayson Tatum (37170261),Jayson Tatum,37170261,SF/PF/F/UTIL,10300,IND@BOS 12/29/2024 06:00PM ET,BOS,53.99,2024-12-29 18:00:00-05:00,IND,1610612738,1610612754,jaysontatum,1628369,2024-12-29,Main
PG,Trae Young (37170265),Trae Young,37170265,PG/G/UTIL,9900,ATL@TOR 12/29/2024 06:00PM ET,ATL,47.55,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,traeyoung,1629027,2024-12-29,Main
PG/SF,Scottie Barnes (37170268),Scottie Barnes,37170268,PG/SF/F/G/UTIL,9500,ATL@TOR 12/29/2024 06:00PM ET,TOR,44.28,2024-12-29 18:00:00-05:00,ATL,1610612761,1610612737,scottiebarnes,1630567,2024-12-29,Main
PF,Jalen Johnson (37170273),Jalen Johnson,37170273,PF/F/UTIL,9300,ATL@TOR 12/29/2024 06:00PM ET,ATL,46.4,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,jalenjohnson,1630552,2024-12-29,Main
PG/SF,RJ Barrett (37170276),RJ Barrett,37170276,PG/SF/F/G/UTIL,9100,ATL@TOR 12/29/2024 06:00PM ET,TOR,43.72,2024-12-29 18:00:00-05:00,ATL,1610612761,1610612737,rjbarrett,1629628,2024-12-29,Main
PG,Ja Morant (37170281),Ja Morant,37170281,PG/G/UTIL,9000,MEM@OKC 12/29/2024 07:00PM ET,MEM,41.1,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,jamorant,1629630,2024-12-29,Main
C,Alperen Sengun (37170284),Alperen Sengun,37170284,C/UTIL,8800,MIA@HOU 12/29/2024 07:00PM ET,HOU,44.44,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,alperensengun,1630578,2024-12-29,Main
PG/SG,Anthony Edwards (37170286),Anthony Edwards,37170286,PG/SG/G/UTIL,8700,SAS@MIN 12/29/2024 08:00PM ET,MIN,42.62,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,anthonyedwards,1630162,2024-12-29,Main
