Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Victor Wembanyama (37170256),Victor Wembanyama,37170256,C/UTIL,11400,SAS@MIN 12/29/2024 08:00PM ET,SAS,54.53
PG,Shai Gilgeous-Alexander (37170258),Shai Gilgeous-Alexander,37170258,PG/G/UTIL,11000,MEM@OKC 12/29/2024 07:00PM ET,OKC,52.32
SF/PF,Jayson Tatum (37170261),Jayson Tatum,37170261,SF/PF/F/UTIL,10300,IND@BOS 12/29/2024 06:00PM ET,BOS,53.99
PG,Trae Young (37170265),Trae Young,37170265,PG/G/UTIL,9900,ATL@TOR 12/29/2024 06:00PM ET,ATL,47.55
PG/SF,Scottie Barnes (37170268),Scottie Barnes,37170268,PG/SF/F/G/UTIL,9500,ATL@TOR 12/29/2024 06:00PM ET,TOR,44.28
PF,Jalen Johnson (37170273),Jalen Johnson,37170273,PF/F/UTIL,9300,ATL@TOR 12/29/2024 06:00PM ET,ATL,46.4
PG/SF,RJ Barrett (37170276),RJ Barrett,37170276,PG/SF/F/G/UTIL,9100,ATL@TOR 12/29/2024 06:00PM ET,TOR,43.72
PG,Ja Morant (37170281),Ja Morant,37170281,PG/G/UTIL,9000,MEM@OKC 12/29/2024 07:00PM ET,MEM,41.1
C,Alperen Sengun (37170284),Alperen Sengun,37170284,C/UTIL,8800,MIA@HOU 12/29/2024 07:00PM ET,HOU,44.44
PG/SG,Anthony Edwards (37170286),Anthony Edwards,37170286,PG/SG/G/UTIL,8700,SAS@MIN 12/29/2024 08:00PM ET,MIN,42.62
PF,Jalen Williams (37170290),Jalen Williams,37170290,PF/F/UTIL,8600,MEM@OKC 12/29/2024 07:00PM ET,OKC,40.90
C,Bam Adebayo (37170293),Bam Adebayo,37170293,C/UTIL,8500,MIA@HOU 12/29/2024 07:00PM ET,MIA,40.69
SG/SF,Jaylen Brown (37170295),Jaylen Brown,37170295,SG/SF/F/G/UTIL,8400,IND@BOS 12/29/2024 06:00PM ET,BOS,42.38
PG,Tyrese Haliburton (37170300),Tyrese Haliburton,37170300,PG/G/UTIL,8300,IND@BOS 12/29/2024 06:00PM ET,IND,39.45
SF/PF,Jimmy Butler (37170303),Jimmy Butler,37170303,SF/PF/F/UTIL,8200,MIA@HOU 12/29/2024 07:00PM ET,MIA,36.11
PG/SG,Tyler Herro (37170307),Tyler Herro,37170307,PG/SG/G/UTIL,8000,MIA@HOU 12/29/2024 07:00PM ET,MIA,41.40
PF,Chet Holmgren (37170311),Chet Holmgren,37170311,PF/F/UTIL,7900,MEM@OKC 12/29/2024 07:00PM ET,OKC,37.22
PF/C,Jaren Jackson Jr. (37170314),Jaren Jackson Jr.,37170314,PF/C/F/UTIL,7800,MEM@OKC 12/29/2024 07:00PM ET,MEM,38.24
C,Isaiah Hartenstein (37170318),Isaiah Hartenstein,37170318,C/UTIL,7700,MEM@OKC 12/29/2024 07:00PM ET,OKC,38.19
C,Jakob Poeltl (37170320),Jakob Poeltl,37170320,C/UTIL,7600,ATL@TOR 12/29/2024 06:00PM ET,TOR,37.86
PF,Pascal Siakam (37170322),Pascal Siakam,37170322,PF/F/UTIL,7500,IND@BOS 12/29/2024 06:00PM ET,IND,36.71
PF/C,Julius Randle (37170325),Julius Randle,37170325,PF/C/F/UTIL,7400,SAS@MIN 12/29/2024 08:00PM ET,MIN,37.27
SG/SF,Desmond Bane (37170329),Desmond Bane,37170329,SG/SF/F/G/UTIL,7300,MEM@OKC 12/29/2024 07:00PM ET,MEM,33.31
C,Kristaps Porzingis (37170334),Kristaps Porzingis,37170334,C/UTIL,7200,IND@BOS 12/29/2024 06:00PM ET,BOS,33.68
PG/SG,Derrick White (37170336),Derrick White,37170336,PG/SG/G/UTIL,7100,IND@BOS 12/29/2024 06:00PM ET,BOS,34.96
PG/SG,Dyson Daniels (37170340),Dyson Daniels,37170340,PG/SG/G/UTIL,7000,ATL@TOR 12/29/2024 06:00PM ET,ATL,32.30
PG,Fred VanVleet (37170344),Fred VanVleet,37170344,PG/G/UTIL,6900,MIA@HOU 12/29/2024 07:00PM ET,HOU,34.38
SG/SF,Amen Thompson (37170347),Amen Thompson,37170347,SG/SF/F/G/UTIL,6800,MIA@HOU 12/29/2024 07:00PM ET,HOU,28.32
PG,Immanuel Quickley (37170352),Immanuel Quickley,37170352,PG/G/UTIL,6700,ATL@TOR 12/29/2024 06:00PM ET,TOR,25.5
PF/C,Jeremy Sochan (37170355),Jeremy Sochan,37170355,PF/C/F/UTIL,6600,SAS@MIN 12/29/2024 08:00PM ET,SAS,33.11
C,Myles Turner (37170359),Myles Turner,37170359,C/UTIL,6500,IND@BOS 12/29/2024 06:00PM ET,IND,32.06
SF/PF,De'Andre Hunter (37170361),De'Andre Hunter,37170361,SF/PF/F/UTIL,6400,ATL@TOR 12/29/2024 06:00PM ET,ATL,30.13
SG/SF,Bennedict Mathurin (37170365),Bennedict Mathurin,37170365,SG/SF/F/G/UTIL,6300,IND@BOS 12/29/2024 06:00PM ET,IND,29.28
PG,Chris Paul (37170370),Chris Paul,37170370,PG/G/UTIL,6200,SAS@MIN 12/29/2024 08:00PM ET,SAS,30.62
SG,Jalen Green (37170373),Jalen Green,37170373,SG/G/UTIL,6100,MIA@HOU 12/29/2024 07:00PM ET,HOU,31.52
C,Rudy Gobert (37170376),Rudy Gobert,37170376,C/UTIL,6000,SAS@MIN 12/29/2024 08:00PM ET,MIN,30.22
C,Clint Capela (37170378),Clint Capela,37170378,C/UTIL,5900,ATL@TOR 12/29/2024 06:00PM ET,ATL,25.86
SG,Gradey Dick (37170380),Gradey Dick,37170380,SG/G/UTIL,5800,ATL@TOR 12/29/2024 06:00PM ET,TOR,28.28
PF/C,Jabari Smith Jr. (37170383),Jabari Smith Jr.,37170383,PF/C/F/UTIL,5700,MIA@HOU 12/29/2024 07:00PM ET,HOU,25.48
PG/SG,Payton Pritchard (37170387),Payton Pritchard,37170387,PG/SG/G/UTIL,5600,IND@BOS 12/29/2024 06:00PM ET,BOS,28.84
SG/SF,Devin Vassell (37170391),Devin Vassell,37170391,SG/SF/F/G/UTIL,5500,SAS@MIN 12/29/2024 08:00PM ET,SAS,26.30
C,Zach Edey (37170396),Zach Edey,37170396,C/UTIL,5400,MEM@OKC 12/29/2024 07:00PM ET,MEM,26.45
SF/PF,Jaime Jaquez Jr. (37170401),Jaime Jaquez Jr.,37170401,SF/PF/F/UTIL,5300,MIA@HOU 12/29/2024 07:00PM ET,MIA,20.2
PG,Scotty Pippen Jr. (37170398),Scotty Pippen Jr.,37170398,PG/G/UTIL,5300,MEM@OKC 12/29/2024 07:00PM ET,MEM,25.53
PF/C,Larry Nance Jr. (37170405),Larry Nance Jr.,37170405,PF/C/F/UTIL,5100,ATL@TOR 12/29/2024 06:00PM ET,ATL,21.57
PG/SG,Andrew Nembhard (37170409),Andrew Nembhard,37170409,PG/SG/G/UTIL,5000,IND@BOS 12/29/2024 06:00PM ET,IND,22.46
C,Kelly Olynyk (37170418),Kelly Olynyk,37170418,C/UTIL,5000,ATL@TOR 12/29/2024 06:00PM ET,TOR,20
SG/SF,Dillon Brooks (37170413),Dillon Brooks,37170413,SG/SF/F/G/UTIL,5000,MIA@HOU 12/29/2024 07:00PM ET,HOU,23.56
PF,Santi Aldama (37170420),Santi Aldama,37170420,PF/F/UTIL,5000,MEM@OKC 12/29/2024 07:00PM ET,MEM,30.11
PF/C,Al Horford (37170423),Al Horford,37170423,PF/C/F/UTIL,4900,IND@BOS 12/29/2024 06:00PM ET,BOS,23.02
PG,T.J. McConnell (37170427),T.J. McConnell,37170427,PG/G/UTIL,4900,IND@BOS 12/29/2024 06:00PM ET,IND,23.29
SG/SF,Bogdan Bogdanovic (37170434),Bogdan Bogdanovic,37170434,SG/SF/F/G/UTIL,4800,ATL@TOR 12/29/2024 06:00PM ET,ATL,21
SF/PF,Tari Eason (37170430),Tari Eason,37170430,SF/PF/F/UTIL,4800,MIA@HOU 12/29/2024 07:00PM ET,HOU,26.70
PG,Jrue Holiday (37170443),Jrue Holiday,37170443,PG/G/UTIL,4700,IND@BOS 12/29/2024 06:00PM ET,BOS,25.90
PG/SG,Terry Rozier (37170439),Terry Rozier,37170439,PG/SG/G/UTIL,4700,MIA@HOU 12/29/2024 07:00PM ET,MIA,23.54
PF/C,Naz Reid (37170446),Naz Reid,37170446,PF/C/F/UTIL,4600,SAS@MIN 12/29/2024 08:00PM ET,MIN,24.1
PF/C,Obi Toppin (37170458),Obi Toppin,37170458,PF/C/F/UTIL,4500,IND@BOS 12/29/2024 06:00PM ET,IND,20.83
PF,Ochai Agbaji (37170450),Ochai Agbaji,37170450,PF/F/UTIL,4500,ATL@TOR 12/29/2024 06:00PM ET,TOR,22.51
SG,Duncan Robinson (37170462),Duncan Robinson,37170462,SG/G/UTIL,4500,MIA@HOU 12/29/2024 07:00PM ET,MIA,19.93
SG/SF,Luguentz Dort (37170453),Luguentz Dort,37170453,SG/SF/F/G/UTIL,4500,MEM@OKC 12/29/2024 07:00PM ET,OKC,22.63
SG/SF,Bruce Brown (37170465),Bruce Brown,37170465,SG/SF/F/G/UTIL,4400,ATL@TOR 12/29/2024 06:00PM ET,TOR,0
PG,Mike Conley (37170470),Mike Conley,37170470,PG/G/UTIL,4400,SAS@MIN 12/29/2024 08:00PM ET,MIN,22.26
C,Onyeka Okongwu (37170478),Onyeka Okongwu,37170478,C/UTIL,4300,ATL@TOR 12/29/2024 06:00PM ET,ATL,24.52
PF/C,Jonathan Mogbo (37170480),Jonathan Mogbo,37170480,PF/C/F/UTIL,4300,ATL@TOR 12/29/2024 06:00PM ET,TOR,16.28
SG/SF,Jaylen Wells (37170484),Jaylen Wells,37170484,SG/SF/F/G/UTIL,4300,MEM@OKC 12/29/2024 07:00PM ET,MEM,19.57
SG/SF,Julian Champagnie (37170473),Julian Champagnie,37170473,SG/SF/F/G/UTIL,4300,SAS@MIN 12/29/2024 08:00PM ET,SAS,24.43
C,Thomas Bryant (37170509),Thomas Bryant,37170509,C/UTIL,4200,IND@BOS 12/29/2024 06:00PM ET,IND,11.39
SG/SF,Ja'Kobe Walter (37170500),Ja'Kobe Walter,37170500,SG/SF/F/G/UTIL,4200,ATL@TOR 12/29/2024 06:00PM ET,TOR,16.88
SF/PF,Cam Whitmore (37170505),Cam Whitmore,37170505,SF/PF/F/UTIL,4200,MIA@HOU 12/29/2024 07:00PM ET,HOU,13.36
SF/PF,Jake LaRavia (37170492),Jake LaRavia,37170492,SF/PF/F/UTIL,4200,MEM@OKC 12/29/2024 07:00PM ET,MEM,21.71
PG/SG,Cason Wallace (37170496),Cason Wallace,37170496,PG/SG/G/UTIL,4200,MEM@OKC 12/29/2024 07:00PM ET,OKC,19.16
SF,Jaden McDaniels (37170489),Jaden McDaniels,37170489,SF/F/UTIL,4200,SAS@MIN 12/29/2024 08:00PM ET,MIN,22.08
PG/SG,Marcus Smart (37170515),Marcus Smart,37170515,PG/SG/G/UTIL,4100,MEM@OKC 12/29/2024 07:00PM ET,MEM,20.92
PG/SG,Donte DiVincenzo (37170511),Donte DiVincenzo,37170511,PG/SG/G/UTIL,4100,SAS@MIN 12/29/2024 08:00PM ET,MIN,21.69
SF/PF,Sam Hauser (37170525),Sam Hauser,37170525,SF/PF/F/UTIL,4000,IND@BOS 12/29/2024 06:00PM ET,BOS,16.40
C,Bruno Fernando (37170523),Bruno Fernando,37170523,C/UTIL,4000,ATL@TOR 12/29/2024 06:00PM ET,TOR,10.41
PF/C,Nikola Jovic (37170519),Nikola Jovic,37170519,PF/C/F/UTIL,4000,MIA@HOU 12/29/2024 07:00PM ET,MIA,16.8
