position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
C,Victor Wembanyama (37171168),Victor Wembanyama,37171168,C/UTIL,11400,SAS@MIN 12/29/2024 08:00PM ET,SAS,54.53,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,victorwembanyama,1641705,2024-12-29,Night
PG,Shai Gilgeous-Alexander (37170992),Shai Gilgeous-Alexander,37170992,PG/G/UTIL,11000,MEM@OKC 12/29/2024 07:00PM ET,OKC,52.32,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,shaigilgeousalexander,1628983,2024-12-29,Night
PG,Ja Morant (37170984),Ja Morant,37170984,PG/G/UTIL,9000,MEM@OKC 12/29/2024 07:00PM ET,MEM,41.1,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,jamorant,1629630,2024-12-29,Night
C,Alperen Sengun (37171134),Alperen Sengun,37171134,C/UTIL,8800,MIA@HOU 12/29/2024 07:00PM ET,HOU,44.44,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,alperensengun,1630578,2024-12-29,Night
PG/SG,Anthony Edwards (37171059),Anthony Edwards,37171059,PG/SG/G/UTIL,8700,SAS@MIN 12/29/2024 08:00PM ET,MIN,42.62,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,anthonyedwards,1630162,2024-12-29,Night
PF,Jalen Williams (37171097),Jalen Williams,37171097,PF/F/UTIL,8600,MEM@OKC 12/29/2024 07:00PM ET,OKC,40.9,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,jalenwilliams,1631114,2024-12-29,Night
C,Bam Adebayo (37170974),Bam Adebayo,37170974,C/UTIL,8500,MIA@HOU 12/29/2024 07:00PM ET,MIA,40.69,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,bamadebayo,1628389,2024-12-29,Night
SF/PF,Jimmy Butler (37170875),Jimmy Butler,37170875,SF/PF/F/UTIL,8200,MIA@HOU 12/29/2024 07:00PM ET,MIA,36.11,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,jimmybutler,202710,2024-12-29,Night
PG/SG,Tyler Herro (37171026),Tyler Herro,37171026,PG/SG/G/UTIL,8000,MIA@HOU 12/29/2024 07:00PM ET,MIA,41.4,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,tylerherro,1629639,2024-12-29,Night
PF,Chet Holmgren (37171161),Chet Holmgren,37171161,PF/F/UTIL,7900,MEM@OKC 12/29/2024 07:00PM ET,OKC,37.22,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,chetholmgren,1631096,2024-12-29,Night
PF/C,Jaren Jackson Jr. (37170995),Jaren Jackson Jr.,37170995,PF/C/F/UTIL,7800,MEM@OKC 12/29/2024 07:00PM ET,MEM,38.24,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,jarenjackson,1628991,2024-12-29,Night
C,Isaiah Hartenstein (37170976),Isaiah Hartenstein,37170976,C/UTIL,7700,MEM@OKC 12/29/2024 07:00PM ET,OKC,38.19,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,isaiahhartenstein,1628392,2024-12-29,Night
PF/C,Julius Randle (37170913),Julius Randle,37170913,PF/C/F/UTIL,7400,SAS@MIN 12/29/2024 08:00PM ET,MIN,37.27,2024-12-29 20:00:00-05:00,SAS,1610612750,1610612759,juliusrandle,203944,2024-12-29,Night
SG/SF,Desmond Bane (37170964),Desmond Bane,37170964,SG/SF/F/G/UTIL,7300,MEM@OKC 12/29/2024 07:00PM ET,MEM,33.31,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,desmondbane,1630217,2024-12-29,Night
