Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Victor Wembanyama (37171168),Victor Wembanyama,37171168,C/UTIL,11400,SAS@MIN 12/29/2024 08:00PM ET,SAS,54.53
PG,Shai Gilgeous-Alexander (37170992),Shai Gilgeous-Alexander,37170992,PG/G/UTIL,11000,MEM@OKC 12/29/2024 07:00PM ET,OKC,52.32
PG,Ja Morant (37170984),Ja Morant,37170984,PG/G/UTIL,9000,MEM@OKC 12/29/2024 07:00PM ET,MEM,41.1
C,Alperen Sengun (37171134),Alperen Sengun,37171134,C/UTIL,8800,MIA@HOU 12/29/2024 07:00PM ET,HOU,44.44
PG/SG,Anthony Edwards (37171059),Anthony Edwards,37171059,PG/SG/G/UTIL,8700,SAS@MIN 12/29/2024 08:00PM ET,MIN,42.62
PF,Jalen Williams (37171097),Jalen Williams,37171097,PF/F/UTIL,8600,MEM@OKC 12/29/2024 07:00PM ET,OKC,40.90
C,Bam Adebayo (37170974),Bam Adebayo,37170974,C/UTIL,8500,MIA@HOU 12/29/2024 07:00PM ET,MIA,40.69
SF/PF,Jimmy Butler (37170875),Jimmy Butler,37170875,SF/PF/F/UTIL,8200,MIA@HOU 12/29/2024 07:00PM ET,MIA,36.11
PG/SG,Tyler Herro (37171026),Tyler Herro,37171026,PG/SG/G/UTIL,8000,MIA@HOU 12/29/2024 07:00PM ET,MIA,41.40
PF,Chet Holmgren (37171161),Chet Holmgren,37171161,PF/F/UTIL,7900,MEM@OKC 12/29/2024 07:00PM ET,OKC,37.22
PF/C,Jaren Jackson Jr. (37170995),Jaren Jackson Jr.,37170995,PF/C/F/UTIL,7800,MEM@OKC 12/29/2024 07:00PM ET,MEM,38.24
C,Isaiah Hartenstein (37170976),Isaiah Hartenstein,37170976,C/UTIL,7700,MEM@OKC 12/29/2024 07:00PM ET,OKC,38.19
PF/C,Julius Randle (37170913),Julius Randle,37170913,PF/C/F/UTIL,7400,SAS@MIN 12/29/2024 08:00PM ET,MIN,37.27
SG/SF,Desmond Bane (37170964),Desmond Bane,37170964,SG/SF/F/G/UTIL,7300,MEM@OKC 12/29/2024 07:00PM ET,MEM,33.31
PG,Fred VanVleet (37170904),Fred VanVleet,37170904,PG/G/UTIL,6900,MIA@HOU 12/29/2024 07:00PM ET,HOU,34.38
SG/SF,Amen Thompson (37171196),Amen Thompson,37171196,SG/SF/F/G/UTIL,6800,MIA@HOU 12/29/2024 07:00PM ET,HOU,28.32
PF/C,Jeremy Sochan (37171153),Jeremy Sochan,37171153,PF/C/F/UTIL,6600,SAS@MIN 12/29/2024 08:00PM ET,SAS,33.11
PG,Chris Paul (37170863),Chris Paul,37170863,PG/G/UTIL,6200,SAS@MIN 12/29/2024 08:00PM ET,SAS,30.62
SG,Jalen Green (37171128),Jalen Green,37171128,SG/G/UTIL,6100,MIA@HOU 12/29/2024 07:00PM ET,HOU,31.52
C,Rudy Gobert (37170907),Rudy Gobert,37170907,C/UTIL,6000,SAS@MIN 12/29/2024 08:00PM ET,MIN,30.22
PF/C,Jabari Smith Jr. (37171157),Jabari Smith Jr.,37171157,PF/C/F/UTIL,5700,MIA@HOU 12/29/2024 07:00PM ET,HOU,25.48
SG/SF,Devin Vassell (37171006),Devin Vassell,37171006,SG/SF/F/G/UTIL,5500,SAS@MIN 12/29/2024 08:00PM ET,SAS,26.30
C,Zach Edey (37171116),Zach Edey,37171116,C/UTIL,5400,MEM@OKC 12/29/2024 07:00PM ET,MEM,26.45
SF/PF,Jaime Jaquez Jr. (37171068),Jaime Jaquez Jr.,37171068,SF/PF/F/UTIL,5300,MIA@HOU 12/29/2024 07:00PM ET,MIA,20.2
PG,Scotty Pippen Jr. (37171072),Scotty Pippen Jr.,37171072,PG/G/UTIL,5300,MEM@OKC 12/29/2024 07:00PM ET,MEM,25.53
SG/SF,Dillon Brooks (37170935),Dillon Brooks,37170935,SG/SF/F/G/UTIL,5000,MIA@HOU 12/29/2024 07:00PM ET,HOU,23.56
PF,Santi Aldama (37171083),Santi Aldama,37171083,PF/F/UTIL,5000,MEM@OKC 12/29/2024 07:00PM ET,MEM,30.11
SF/PF,Tari Eason (37171124),Tari Eason,37171124,SF/PF/F/UTIL,4800,MIA@HOU 12/29/2024 07:00PM ET,HOU,26.70
PG/SG,Terry Rozier (37170909),Terry Rozier,37170909,PG/SG/G/UTIL,4700,MIA@HOU 12/29/2024 07:00PM ET,MIA,23.54
PF/C,Naz Reid (37171044),Naz Reid,37171044,PF/C/F/UTIL,4600,SAS@MIN 12/29/2024 08:00PM ET,MIN,24.1
SG,Duncan Robinson (37170932),Duncan Robinson,37170932,SG/G/UTIL,4500,MIA@HOU 12/29/2024 07:00PM ET,MIA,19.93
SG/SF,Luguentz Dort (37171033),Luguentz Dort,37171033,SG/SF/F/G/UTIL,4500,MEM@OKC 12/29/2024 07:00PM ET,OKC,22.63
PG,Mike Conley (37170870),Mike Conley,37170870,PG/G/UTIL,4400,SAS@MIN 12/29/2024 08:00PM ET,MIN,22.26
SG/SF,Jaylen Wells (37171191),Jaylen Wells,37171191,SG/SF/F/G/UTIL,4300,MEM@OKC 12/29/2024 07:00PM ET,MEM,19.57
SG/SF,Julian Champagnie (37171063),Julian Champagnie,37171063,SG/SF/F/G/UTIL,4300,SAS@MIN 12/29/2024 08:00PM ET,SAS,24.43
