position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
PG,Luka Doncic (37142426),Luka Doncic,37142426,PG/G/UTIL,11100,MIN@DAL 12/25/2024 02:30PM ET,DAL,57.64,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,lukadoncic,1629029,2024-12-25,Turbo1
SF/PF,Jayson Tatum (37142391),Jayson Tatum,37142391,SF/PF/F/UTIL,9800,PHI@BOS 12/25/2024 05:00PM ET,BOS,53.7,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,jaysontatum,1628369,2024-12-25,Turbo1
C,Joel Embiid (37142353),Joel Embiid,37142353,C/UTIL,9500,PHI@BOS 12/25/2024 05:00PM ET,PHI,37.94,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,joelembiid,203954,2024-12-25,Turbo1
PG/SG,Anthony Edwards (37142455),Anthony Edwards,37142455,PG/SG/G/UTIL,8700,MIN@DAL 12/25/2024 02:30PM ET,MIN,42.56,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,anthonyedwards,1630162,2024-12-25,Turbo1
PG,Tyrese Maxey (37142474),Tyrese Maxey,37142474,PG/G/UTIL,8400,PHI@BOS 12/25/2024 05:00PM ET,PHI,43.39,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,tyresemaxey,1630178,2024-12-25,Turbo1
SF/PF,Paul George (37142327),Paul George,37142327,SF/PF/F/UTIL,8100,PHI@BOS 12/25/2024 05:00PM ET,PHI,35.15,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,paulgeorge,202331,2024-12-25,Turbo1
PG/SG,Kyrie Irving (37142331),Kyrie Irving,37142331,PG/SG/G/UTIL,7900,MIN@DAL 12/25/2024 02:30PM ET,DAL,40.28,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,kyrieirving,202681,2024-12-25,Turbo1
SG/SF,Jaylen Brown (37142371),Jaylen Brown,37142371,SG/SF/F/G/UTIL,7800,PHI@BOS 12/25/2024 05:00PM ET,BOS,41.49,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,jaylenbrown,1627759,2024-12-25,Turbo1
C,Kristaps Porzingis (37142369),Kristaps Porzingis,37142369,C/UTIL,7300,PHI@BOS 12/25/2024 05:00PM ET,BOS,35.3,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,kristapsporzingis,204001,2024-12-25,Turbo1
PF/C,Julius Randle (37142349),Julius Randle,37142349,PF/C/F/UTIL,7100,MIN@DAL 12/25/2024 02:30PM ET,MIN,36.36,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,juliusrandle,203944,2024-12-25,Turbo1
PG/SG,Derrick White (37142355),Derrick White,37142355,PG/SG/G/UTIL,6800,PHI@BOS 12/25/2024 05:00PM ET,BOS,35.4,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,derrickwhite,1628401,2024-12-25,Turbo1
PF,PJ Washington (37142415),PJ Washington,37142415,PF/F/UTIL,6500,MIN@DAL 12/25/2024 02:30PM ET,DAL,31.09,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,pjwashington,1629023,2024-12-25,Turbo1
C,Rudy Gobert (37142345),Rudy Gobert,37142345,C/UTIL,6200,MIN@DAL 12/25/2024 02:30PM ET,MIN,30.38,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,rudygobert,203497,2024-12-25,Turbo1
SG,Kelly Oubre Jr. (37142366),Kelly Oubre Jr.,37142366,SG/G/UTIL,5900,PHI@BOS 12/25/2024 05:00PM ET,PHI,26.08,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,kellyoubre,1626162,2024-12-25,Turbo1
PG/SG,Payton Pritchard (37142395),Payton Pritchard,37142395,PG/SG/G/UTIL,5700,PHI@BOS 12/25/2024 05:00PM ET,BOS,28.58,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,paytonpritchard,1630202,2024-12-25,Turbo1
C,Dereck Lively II (37142524),Dereck Lively II,37142524,C/UTIL,5500,MIN@DAL 12/25/2024 02:30PM ET,DAL,26.17,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,derecklively,1641726,2024-12-25,Turbo1
SG/SF,Klay Thompson (37142315),Klay Thompson,37142315,SG/SF/F/G/UTIL,5300,MIN@DAL 12/25/2024 02:30PM ET,DAL,24.81,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,klaythompson,202691,2024-12-25,Turbo1
PG,Jrue Holiday (37142312),Jrue Holiday,37142312,PG/G/UTIL,4800,PHI@BOS 12/25/2024 05:00PM ET,BOS,25.9,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,jrueholiday,201950,2024-12-25,Turbo1
C,Andre Drummond (37142343),Andre Drummond,37142343,C/UTIL,4600,PHI@BOS 12/25/2024 05:00PM ET,PHI,20.43,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,andredrummond,203083,2024-12-25,Turbo1
PG,Mike Conley (37142304),Mike Conley,37142304,PG/G/UTIL,4600,MIN@DAL 12/25/2024 02:30PM ET,MIN,22.76,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,mikeconley,201144,2024-12-25,Turbo1
SF/PF,Naji Marshall (37142402),Naji Marshall,37142402,SF/PF/F/UTIL,4600,MIN@DAL 12/25/2024 02:30PM ET,DAL,20.79,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,najimarshall,1630230,2024-12-25,Turbo1
PF/C,Al Horford (37142300),Al Horford,37142300,PF/C/F/UTIL,4500,PHI@BOS 12/25/2024 05:00PM ET,BOS,22.65,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,alhorford,201143,2024-12-25,Turbo1
PG,Spencer Dinwiddie (37142340),Spencer Dinwiddie,37142340,PG/G/UTIL,4500,MIN@DAL 12/25/2024 02:30PM ET,DAL,18.06,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,spencerdinwiddie,203915,2024-12-25,Turbo1
PF/C,Naz Reid (37142449),Naz Reid,37142449,PF/C/F/UTIL,4400,MIN@DAL 12/25/2024 02:30PM ET,MIN,24.59,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,nazreid,1629675,2024-12-25,Turbo1
PF/C,Guerschon Yabusele (37142383),Guerschon Yabusele,37142383,PF/C/F/UTIL,4300,PHI@BOS 12/25/2024 05:00PM ET,PHI,21.04,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,guerschonyabusele,1627824,2024-12-25,Turbo1
SG/SF,Quentin Grimes (37142429),Quentin Grimes,37142429,SG/SF/F/G/UTIL,4300,MIN@DAL 12/25/2024 02:30PM ET,DAL,17.95,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,quentingrimes,1629656,2024-12-25,Turbo1
C,Daniel Gafford (37142408),Daniel Gafford,37142408,C/UTIL,4200,MIN@DAL 12/25/2024 02:30PM ET,DAL,25.25,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,danielgafford,1629655,2024-12-25,Turbo1
