Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (37142426),Luka Doncic,37142426,PG/G/UTIL,11100,MIN@DAL 12/25/2024 02:30PM ET,DAL,57.64
SF/PF,Jayson Tatum (37142391),Jayson Tatum,37142391,SF/PF/F/UTIL,9800,PHI@BOS 12/25/2024 05:00PM ET,BOS,53.70
C,Joel Embiid (37142353),Joel Embiid,37142353,C/UTIL,9500,PHI@BOS 12/25/2024 05:00PM ET,PHI,37.94
PG/SG,Anthony Edwards (37142455),Anthony Edwards,37142455,PG/SG/G/UTIL,8700,MIN@DAL 12/25/2024 02:30PM ET,MIN,42.56
PG,Tyrese Maxey (37142474),Tyrese Maxey,37142474,PG/G/UTIL,8400,PHI@BOS 12/25/2024 05:00PM ET,PHI,43.39
SF/PF,Paul George (37142327),Paul George,37142327,SF/PF/F/UTIL,8100,PHI@BOS 12/25/2024 05:00PM ET,PHI,35.15
PG/SG,Kyrie Irving (37142331),Kyrie Irving,37142331,PG/SG/G/UTIL,7900,MIN@DAL 12/25/2024 02:30PM ET,DAL,40.28
SG/SF,Jaylen Brown (37142371),Jaylen Brown,37142371,SG/SF/F/G/UTIL,7800,PHI@BOS 12/25/2024 05:00PM ET,BOS,41.49
C,Kristaps Porzingis (37142369),Kristaps Porzingis,37142369,C/UTIL,7300,PHI@BOS 12/25/2024 05:00PM ET,BOS,35.3
PF/C,Julius Randle (37142349),Julius Randle,37142349,PF/C/F/UTIL,7100,MIN@DAL 12/25/2024 02:30PM ET,MIN,36.36
PG/SG,Derrick White (37142355),Derrick White,37142355,PG/SG/G/UTIL,6800,PHI@BOS 12/25/2024 05:00PM ET,BOS,35.40
PF,PJ Washington (37142415),PJ Washington,37142415,PF/F/UTIL,6500,MIN@DAL 12/25/2024 02:30PM ET,DAL,31.09
C,Rudy Gobert (37142345),Rudy Gobert,37142345,C/UTIL,6200,MIN@DAL 12/25/2024 02:30PM ET,MIN,30.38
SG,Kelly Oubre Jr. (37142366),Kelly Oubre Jr.,37142366,SG/G/UTIL,5900,PHI@BOS 12/25/2024 05:00PM ET,PHI,26.08
PG/SG,Payton Pritchard (37142395),Payton Pritchard,37142395,PG/SG/G/UTIL,5700,PHI@BOS 12/25/2024 05:00PM ET,BOS,28.58
C,Dereck Lively II (37142524),Dereck Lively II,37142524,C/UTIL,5500,MIN@DAL 12/25/2024 02:30PM ET,DAL,26.17
SG/SF,Klay Thompson (37142315),Klay Thompson,37142315,SG/SF/F/G/UTIL,5300,MIN@DAL 12/25/2024 02:30PM ET,DAL,24.81
PG,Jrue Holiday (37142312),Jrue Holiday,37142312,PG/G/UTIL,4800,PHI@BOS 12/25/2024 05:00PM ET,BOS,25.90
C,Andre Drummond (37142343),Andre Drummond,37142343,C/UTIL,4600,PHI@BOS 12/25/2024 05:00PM ET,PHI,20.43
PG,Mike Conley (37142304),Mike Conley,37142304,PG/G/UTIL,4600,MIN@DAL 12/25/2024 02:30PM ET,MIN,22.76
SF/PF,Naji Marshall (37142402),Naji Marshall,37142402,SF/PF/F/UTIL,4600,MIN@DAL 12/25/2024 02:30PM ET,DAL,20.79
PF/C,Al Horford (37142300),Al Horford,37142300,PF/C/F/UTIL,4500,PHI@BOS 12/25/2024 05:00PM ET,BOS,22.65
